version,test/acc,perturbed_auc,original_auc,Name,dataset,data_dir,data_range,val_ratio,test_ratio,feature,mechanism,x_eps,y_eps,alpha,delta,similarity,pick_neighbor,e_eps,model,hidden_dim,dropout,x_steps,y_steps,forward_correction,optimizer,max_epochs,learning_rate,weight_decay,patience,device,seed,repeats,output_dir,log,log_mode,project_name,attack,cmd
0,89.2310430758277,0.58504,0.587,2e0c8d8b-dbe0-11ee-9aa9-70b5e8eff5dc,facebook,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,3.0,1.0,0.0,cosine,top,8.0,gat2,16,0.5,4,2,True,adam,100,0.001,0.01,0,cuda:2,12345,10,fb_gat2,False,individual,LPGNN,True,main.py --dataset facebook --feature raw --mechanism mbm --model gat2 --x_eps 3 --y_eps 3 --e_eps 8.0 --alpha 1 --delta 0 --similarity cosine --pick_neighbor top --forward_correction True --x_steps 4 --y_steps 2 --learning_rate 0.001 --weight_decay 0.01 --dropout 0.5 --attack True -s 12345 -r 10 -o fb_gat2 --device cuda:2
1,87.96724813100748,0.578,0.574,2e0c8d8b-dbe0-11ee-9aa9-70b5e8eff5dc,facebook,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,3.0,1.0,0.0,cosine,top,8.0,gat2,16,0.5,4,2,True,adam,100,0.001,0.01,0,cuda:2,12345,10,fb_gat2,False,individual,LPGNN,True,main.py --dataset facebook --feature raw --mechanism mbm --model gat2 --x_eps 3 --y_eps 3 --e_eps 8.0 --alpha 1 --delta 0 --similarity cosine --pick_neighbor top --forward_correction True --x_steps 4 --y_steps 2 --learning_rate 0.001 --weight_decay 0.01 --dropout 0.5 --attack True -s 12345 -r 10 -o fb_gat2 --device cuda:2
2,91.17123531505874,0.755,0.739662,2e0c8d8b-dbe0-11ee-9aa9-70b5e8eff5dc,facebook,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,3.0,1.0,0.0,cosine,top,8.0,gat2,16,0.5,4,2,True,adam,100,0.001,0.01,0,cuda:2,12345,10,fb_gat2,False,individual,LPGNN,True,main.py --dataset facebook --feature raw --mechanism mbm --model gat2 --x_eps 3 --y_eps 3 --e_eps 8.0 --alpha 1 --delta 0 --similarity cosine --pick_neighbor top --forward_correction True --x_steps 4 --y_steps 2 --learning_rate 0.001 --weight_decay 0.01 --dropout 0.5 --attack True -s 12345 -r 10 -o fb_gat2 --device cuda:2
3,89.21324314702741,0.616,0.612,2e0c8d8b-dbe0-11ee-9aa9-70b5e8eff5dc,facebook,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,3.0,1.0,0.0,cosine,top,8.0,gat2,16,0.5,4,2,True,adam,100,0.001,0.01,0,cuda:2,12345,10,fb_gat2,False,individual,LPGNN,True,main.py --dataset facebook --feature raw --mechanism mbm --model gat2 --x_eps 3 --y_eps 3 --e_eps 8.0 --alpha 1 --delta 0 --similarity cosine --pick_neighbor top --forward_correction True --x_steps 4 --y_steps 2 --learning_rate 0.001 --weight_decay 0.01 --dropout 0.5 --attack True -s 12345 -r 10 -o fb_gat2 --device cuda:2
4,87.7002491990032,0.576,0.563,2e0c8d8b-dbe0-11ee-9aa9-70b5e8eff5dc,facebook,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,3.0,1.0,0.0,cosine,top,8.0,gat2,16,0.5,4,2,True,adam,100,0.001,0.01,0,cuda:2,12345,10,fb_gat2,False,individual,LPGNN,True,main.py --dataset facebook --feature raw --mechanism mbm --model gat2 --x_eps 3 --y_eps 3 --e_eps 8.0 --alpha 1 --delta 0 --similarity cosine --pick_neighbor top --forward_correction True --x_steps 4 --y_steps 2 --learning_rate 0.001 --weight_decay 0.01 --dropout 0.5 --attack True -s 12345 -r 10 -o fb_gat2 --device cuda:2
5,89.124243503026,0.692,0.662,2e0c8d8b-dbe0-11ee-9aa9-70b5e8eff5dc,facebook,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,3.0,1.0,0.0,cosine,top,8.0,gat2,16,0.5,4,2,True,adam,100,0.001,0.01,0,cuda:2,12345,10,fb_gat2,False,individual,LPGNN,True,main.py --dataset facebook --feature raw --mechanism mbm --model gat2 --x_eps 3 --y_eps 3 --e_eps 8.0 --alpha 1 --delta 0 --similarity cosine --pick_neighbor top --forward_correction True --x_steps 4 --y_steps 2 --learning_rate 0.001 --weight_decay 0.01 --dropout 0.5 --attack True -s 12345 -r 10 -o fb_gat2 --device cuda:2
6,89.26664293342826,0.604,0.579,2e0c8d8b-dbe0-11ee-9aa9-70b5e8eff5dc,facebook,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,3.0,1.0,0.0,cosine,top,8.0,gat2,16,0.5,4,2,True,adam,100,0.001,0.01,0,cuda:2,12345,10,fb_gat2,False,individual,LPGNN,True,main.py --dataset facebook --feature raw --mechanism mbm --model gat2 --x_eps 3 --y_eps 3 --e_eps 8.0 --alpha 1 --delta 0 --similarity cosine --pick_neighbor top --forward_correction True --x_steps 4 --y_steps 2 --learning_rate 0.001 --weight_decay 0.01 --dropout 0.5 --attack True -s 12345 -r 10 -o fb_gat2 --device cuda:2
7,86.97045211819153,0.553,0.556,2e0c8d8b-dbe0-11ee-9aa9-70b5e8eff5dc,facebook,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,3.0,1.0,0.0,cosine,top,8.0,gat2,16,0.5,4,2,True,adam,100,0.001,0.01,0,cuda:2,12345,10,fb_gat2,False,individual,LPGNN,True,main.py --dataset facebook --feature raw --mechanism mbm --model gat2 --x_eps 3 --y_eps 3 --e_eps 8.0 --alpha 1 --delta 0 --similarity cosine --pick_neighbor top --forward_correction True --x_steps 4 --y_steps 2 --learning_rate 0.001 --weight_decay 0.01 --dropout 0.5 --attack True -s 12345 -r 10 -o fb_gat2 --device cuda:2
8,88.55464578141688,0.558,0.556,2e0c8d8b-dbe0-11ee-9aa9-70b5e8eff5dc,facebook,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,3.0,1.0,0.0,cosine,top,8.0,gat2,16,0.5,4,2,True,adam,100,0.001,0.01,0,cuda:2,12345,10,fb_gat2,False,individual,LPGNN,True,main.py --dataset facebook --feature raw --mechanism mbm --model gat2 --x_eps 3 --y_eps 3 --e_eps 8.0 --alpha 1 --delta 0 --similarity cosine --pick_neighbor top --forward_correction True --x_steps 4 --y_steps 2 --learning_rate 0.001 --weight_decay 0.01 --dropout 0.5 --attack True -s 12345 -r 10 -o fb_gat2 --device cuda:2
9,88.37664649341403,0.534,0.533,2e0c8d8b-dbe0-11ee-9aa9-70b5e8eff5dc,facebook,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,3.0,1.0,0.0,cosine,top,8.0,gat2,16,0.5,4,2,True,adam,100,0.001,0.01,0,cuda:2,12345,10,fb_gat2,False,individual,LPGNN,True,main.py --dataset facebook --feature raw --mechanism mbm --model gat2 --x_eps 3 --y_eps 3 --e_eps 8.0 --alpha 1 --delta 0 --similarity cosine --pick_neighbor top --forward_correction True --x_steps 4 --y_steps 2 --learning_rate 0.001 --weight_decay 0.01 --dropout 0.5 --attack True -s 12345 -r 10 -o fb_gat2 --device cuda:2
