version,test/acc,perturbed_auc,original_auc,Name,dataset,data_dir,data_range,val_ratio,test_ratio,feature,mechanism,x_eps,y_eps,alpha,delta,similarity,pick_neighbor,e_eps,model,hidden_dim,dropout,x_steps,y_steps,forward_correction,optimizer,max_epochs,learning_rate,weight_decay,patience,device,seed,repeats,output_dir,log,log_mode,project_name,attack,cmd
0,91.18903524385902,0.588058,0.574,081dab11-dcb3-11ee-9aa9-70b5e8eff5dc,facebook,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,3.0,0.0,0.0,cosine,top,2.0,gt,16,0.5,4,2,True,adam,100,0.001,0.01,0,cuda:3,12345,10,fb_gt,False,individual,LPGNN,True,main.py --dataset facebook --feature raw --mechanism mbm --model gt --x_eps 3 --y_eps 3 --e_eps 2.0 --alpha 0 --delta 0 --similarity cosine --pick_neighbor top --forward_correction True --x_steps 4 --y_steps 2 --learning_rate 0.001 --weight_decay 0.01 --dropout 0.5 --attack True -s 12345 -r 10 -o fb_gt --device cuda:3
1,90.44143823424706,0.594,0.587,081dab11-dcb3-11ee-9aa9-70b5e8eff5dc,facebook,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,3.0,0.0,0.0,cosine,top,2.0,gt,16,0.5,4,2,True,adam,100,0.001,0.01,0,cuda:3,12345,10,fb_gt,False,individual,LPGNN,True,main.py --dataset facebook --feature raw --mechanism mbm --model gt --x_eps 3 --y_eps 3 --e_eps 2.0 --alpha 0 --delta 0 --similarity cosine --pick_neighbor top --forward_correction True --x_steps 4 --y_steps 2 --learning_rate 0.001 --weight_decay 0.01 --dropout 0.5 --attack True -s 12345 -r 10 -o fb_gt --device cuda:3
2,91.27803488786044,0.629,0.612,081dab11-dcb3-11ee-9aa9-70b5e8eff5dc,facebook,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,3.0,0.0,0.0,cosine,top,2.0,gt,16,0.5,4,2,True,adam,100,0.001,0.01,0,cuda:3,12345,10,fb_gt,False,individual,LPGNN,True,main.py --dataset facebook --feature raw --mechanism mbm --model gt --x_eps 3 --y_eps 3 --e_eps 2.0 --alpha 0 --delta 0 --similarity cosine --pick_neighbor top --forward_correction True --x_steps 4 --y_steps 2 --learning_rate 0.001 --weight_decay 0.01 --dropout 0.5 --attack True -s 12345 -r 10 -o fb_gt --device cuda:3
3,91.49163403346387,0.595,0.593,081dab11-dcb3-11ee-9aa9-70b5e8eff5dc,facebook,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,3.0,0.0,0.0,cosine,top,2.0,gt,16,0.5,4,2,True,adam,100,0.001,0.01,0,cuda:3,12345,10,fb_gt,False,individual,LPGNN,True,main.py --dataset facebook --feature raw --mechanism mbm --model gt --x_eps 3 --y_eps 3 --e_eps 2.0 --alpha 0 --delta 0 --similarity cosine --pick_neighbor top --forward_correction True --x_steps 4 --y_steps 2 --learning_rate 0.001 --weight_decay 0.01 --dropout 0.5 --attack True -s 12345 -r 10 -o fb_gt --device cuda:3
4,91.01103595585617,0.594,0.601,081dab11-dcb3-11ee-9aa9-70b5e8eff5dc,facebook,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,3.0,0.0,0.0,cosine,top,2.0,gt,16,0.5,4,2,True,adam,100,0.001,0.01,0,cuda:3,12345,10,fb_gt,False,individual,LPGNN,True,main.py --dataset facebook --feature raw --mechanism mbm --model gt --x_eps 3 --y_eps 3 --e_eps 2.0 --alpha 0 --delta 0 --similarity cosine --pick_neighbor top --forward_correction True --x_steps 4 --y_steps 2 --learning_rate 0.001 --weight_decay 0.01 --dropout 0.5 --attack True -s 12345 -r 10 -o fb_gt --device cuda:3
5,90.72623709505162,0.604,0.58,081dab11-dcb3-11ee-9aa9-70b5e8eff5dc,facebook,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,3.0,0.0,0.0,cosine,top,2.0,gt,16,0.5,4,2,True,adam,100,0.001,0.01,0,cuda:3,12345,10,fb_gt,False,individual,LPGNN,True,main.py --dataset facebook --feature raw --mechanism mbm --model gt --x_eps 3 --y_eps 3 --e_eps 2.0 --alpha 0 --delta 0 --similarity cosine --pick_neighbor top --forward_correction True --x_steps 4 --y_steps 2 --learning_rate 0.001 --weight_decay 0.01 --dropout 0.5 --attack True -s 12345 -r 10 -o fb_gt --device cuda:3
6,91.40263438946245,0.610904,0.609,081dab11-dcb3-11ee-9aa9-70b5e8eff5dc,facebook,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,3.0,0.0,0.0,cosine,top,2.0,gt,16,0.5,4,2,True,adam,100,0.001,0.01,0,cuda:3,12345,10,fb_gt,False,individual,LPGNN,True,main.py --dataset facebook --feature raw --mechanism mbm --model gt --x_eps 3 --y_eps 3 --e_eps 2.0 --alpha 0 --delta 0 --similarity cosine --pick_neighbor top --forward_correction True --x_steps 4 --y_steps 2 --learning_rate 0.001 --weight_decay 0.01 --dropout 0.5 --attack True -s 12345 -r 10 -o fb_gt --device cuda:3
7,90.65503737985048,0.607,0.5901259999999999,081dab11-dcb3-11ee-9aa9-70b5e8eff5dc,facebook,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,3.0,0.0,0.0,cosine,top,2.0,gt,16,0.5,4,2,True,adam,100,0.001,0.01,0,cuda:3,12345,10,fb_gt,False,individual,LPGNN,True,main.py --dataset facebook --feature raw --mechanism mbm --model gt --x_eps 3 --y_eps 3 --e_eps 2.0 --alpha 0 --delta 0 --similarity cosine --pick_neighbor top --forward_correction True --x_steps 4 --y_steps 2 --learning_rate 0.001 --weight_decay 0.01 --dropout 0.5 --attack True -s 12345 -r 10 -o fb_gt --device cuda:3
8,91.5806336774653,0.603,0.601,081dab11-dcb3-11ee-9aa9-70b5e8eff5dc,facebook,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,3.0,0.0,0.0,cosine,top,2.0,gt,16,0.5,4,2,True,adam,100,0.001,0.01,0,cuda:3,12345,10,fb_gt,False,individual,LPGNN,True,main.py --dataset facebook --feature raw --mechanism mbm --model gt --x_eps 3 --y_eps 3 --e_eps 2.0 --alpha 0 --delta 0 --similarity cosine --pick_neighbor top --forward_correction True --x_steps 4 --y_steps 2 --learning_rate 0.001 --weight_decay 0.01 --dropout 0.5 --attack True -s 12345 -r 10 -o fb_gt --device cuda:3
9,91.26023495906016,0.611,0.602,081dab11-dcb3-11ee-9aa9-70b5e8eff5dc,facebook,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,3.0,0.0,0.0,cosine,top,2.0,gt,16,0.5,4,2,True,adam,100,0.001,0.01,0,cuda:3,12345,10,fb_gt,False,individual,LPGNN,True,main.py --dataset facebook --feature raw --mechanism mbm --model gt --x_eps 3 --y_eps 3 --e_eps 2.0 --alpha 0 --delta 0 --similarity cosine --pick_neighbor top --forward_correction True --x_steps 4 --y_steps 2 --learning_rate 0.001 --weight_decay 0.01 --dropout 0.5 --attack True -s 12345 -r 10 -o fb_gt --device cuda:3
