version,test/acc,perturbed_auc,original_auc,Name,dataset,data_dir,data_range,val_ratio,test_ratio,feature,mechanism,x_eps,y_eps,alpha,delta,similarity,pick_neighbor,e_eps,model,hidden_dim,dropout,x_steps,y_steps,forward_correction,optimizer,max_epochs,learning_rate,weight_decay,patience,device,seed,repeats,output_dir,log,log_mode,project_name,attack,cmd
0,72.96898079763663,0.54,0.547,e97db736-d1d1-11ee-9aa9-70b5e8eff5dc,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,3.0,0.0,0.5,cosine,top,0.1,graphconv,16,0.5,16,2,True,adam,100,0.01,0.001,0,cuda:2,12345,10,./graphconv,False,individual,LPGNN,True,main.py --dataset cora --feature raw --mechanism mbm --model graphconv --x_eps 3 --y_eps 3 --e_eps 0.1 --alpha 0 --delta 0.5 --similarity cosine --pick_neighbor top --forward_correction True --x_steps 16 --y_steps 2 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 --attack True -s 12345 -r 10 -o ./graphconv --device cuda:2
1,77.40029542097489,0.538,0.533,e97db736-d1d1-11ee-9aa9-70b5e8eff5dc,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,3.0,0.0,0.5,cosine,top,0.1,graphconv,16,0.5,16,2,True,adam,100,0.01,0.001,0,cuda:2,12345,10,./graphconv,False,individual,LPGNN,True,main.py --dataset cora --feature raw --mechanism mbm --model graphconv --x_eps 3 --y_eps 3 --e_eps 0.1 --alpha 0 --delta 0.5 --similarity cosine --pick_neighbor top --forward_correction True --x_steps 16 --y_steps 2 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 --attack True -s 12345 -r 10 -o ./graphconv --device cuda:2
2,75.33234859675036,0.548,0.556,e97db736-d1d1-11ee-9aa9-70b5e8eff5dc,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,3.0,0.0,0.5,cosine,top,0.1,graphconv,16,0.5,16,2,True,adam,100,0.01,0.001,0,cuda:2,12345,10,./graphconv,False,individual,LPGNN,True,main.py --dataset cora --feature raw --mechanism mbm --model graphconv --x_eps 3 --y_eps 3 --e_eps 0.1 --alpha 0 --delta 0.5 --similarity cosine --pick_neighbor top --forward_correction True --x_steps 16 --y_steps 2 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 --attack True -s 12345 -r 10 -o ./graphconv --device cuda:2
3,78.72968980797637,0.534,0.526,e97db736-d1d1-11ee-9aa9-70b5e8eff5dc,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,3.0,0.0,0.5,cosine,top,0.1,graphconv,16,0.5,16,2,True,adam,100,0.01,0.001,0,cuda:2,12345,10,./graphconv,False,individual,LPGNN,True,main.py --dataset cora --feature raw --mechanism mbm --model graphconv --x_eps 3 --y_eps 3 --e_eps 0.1 --alpha 0 --delta 0.5 --similarity cosine --pick_neighbor top --forward_correction True --x_steps 16 --y_steps 2 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 --attack True -s 12345 -r 10 -o ./graphconv --device cuda:2
4,72.82127031019202,0.528,0.535,e97db736-d1d1-11ee-9aa9-70b5e8eff5dc,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,3.0,0.0,0.5,cosine,top,0.1,graphconv,16,0.5,16,2,True,adam,100,0.01,0.001,0,cuda:2,12345,10,./graphconv,False,individual,LPGNN,True,main.py --dataset cora --feature raw --mechanism mbm --model graphconv --x_eps 3 --y_eps 3 --e_eps 0.1 --alpha 0 --delta 0.5 --similarity cosine --pick_neighbor top --forward_correction True --x_steps 16 --y_steps 2 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 --attack True -s 12345 -r 10 -o ./graphconv --device cuda:2
5,79.02511078286558,0.54,0.534,e97db736-d1d1-11ee-9aa9-70b5e8eff5dc,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,3.0,0.0,0.5,cosine,top,0.1,graphconv,16,0.5,16,2,True,adam,100,0.01,0.001,0,cuda:2,12345,10,./graphconv,False,individual,LPGNN,True,main.py --dataset cora --feature raw --mechanism mbm --model graphconv --x_eps 3 --y_eps 3 --e_eps 0.1 --alpha 0 --delta 0.5 --similarity cosine --pick_neighbor top --forward_correction True --x_steps 16 --y_steps 2 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 --attack True -s 12345 -r 10 -o ./graphconv --device cuda:2
6,77.99113737075332,0.544,0.541,e97db736-d1d1-11ee-9aa9-70b5e8eff5dc,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,3.0,0.0,0.5,cosine,top,0.1,graphconv,16,0.5,16,2,True,adam,100,0.01,0.001,0,cuda:2,12345,10,./graphconv,False,individual,LPGNN,True,main.py --dataset cora --feature raw --mechanism mbm --model graphconv --x_eps 3 --y_eps 3 --e_eps 0.1 --alpha 0 --delta 0.5 --similarity cosine --pick_neighbor top --forward_correction True --x_steps 16 --y_steps 2 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 --attack True -s 12345 -r 10 -o ./graphconv --device cuda:2
7,67.20827178729691,0.546,0.531,e97db736-d1d1-11ee-9aa9-70b5e8eff5dc,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,3.0,0.0,0.5,cosine,top,0.1,graphconv,16,0.5,16,2,True,adam,100,0.01,0.001,0,cuda:2,12345,10,./graphconv,False,individual,LPGNN,True,main.py --dataset cora --feature raw --mechanism mbm --model graphconv --x_eps 3 --y_eps 3 --e_eps 0.1 --alpha 0 --delta 0.5 --similarity cosine --pick_neighbor top --forward_correction True --x_steps 16 --y_steps 2 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 --attack True -s 12345 -r 10 -o ./graphconv --device cuda:2
8,72.08271787296898,0.545,0.538,e97db736-d1d1-11ee-9aa9-70b5e8eff5dc,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,3.0,0.0,0.5,cosine,top,0.1,graphconv,16,0.5,16,2,True,adam,100,0.01,0.001,0,cuda:2,12345,10,./graphconv,False,individual,LPGNN,True,main.py --dataset cora --feature raw --mechanism mbm --model graphconv --x_eps 3 --y_eps 3 --e_eps 0.1 --alpha 0 --delta 0.5 --similarity cosine --pick_neighbor top --forward_correction True --x_steps 16 --y_steps 2 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 --attack True -s 12345 -r 10 -o ./graphconv --device cuda:2
9,75.33234859675036,0.535,0.532,e97db736-d1d1-11ee-9aa9-70b5e8eff5dc,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,3.0,0.0,0.5,cosine,top,0.1,graphconv,16,0.5,16,2,True,adam,100,0.01,0.001,0,cuda:2,12345,10,./graphconv,False,individual,LPGNN,True,main.py --dataset cora --feature raw --mechanism mbm --model graphconv --x_eps 3 --y_eps 3 --e_eps 0.1 --alpha 0 --delta 0.5 --similarity cosine --pick_neighbor top --forward_correction True --x_steps 16 --y_steps 2 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 --attack True -s 12345 -r 10 -o ./graphconv --device cuda:2
