version,test/acc,perturbed_auc,original_auc,Name,dataset,data_dir,data_range,val_ratio,test_ratio,feature,mechanism,x_eps,y_eps,alpha,delta,similarity,pick_neighbor,e_eps,model,hidden_dim,dropout,x_steps,y_steps,forward_correction,optimizer,max_epochs,learning_rate,weight_decay,patience,device,seed,repeats,output_dir,log,log_mode,project_name,attack,cmd
0,78.87740029542097,0.604,0.622,1bedd9f8-d20f-11ee-9aa9-70b5e8eff5dc,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,3.0,0.75,1.0,cosine,top,8.0,gt,16,0.5,16,2,True,adam,100,0.01,0.001,0,cuda:1,12345,10,./gt,False,individual,LPGNN,True,main.py --dataset cora --feature raw --mechanism mbm --model gt --x_eps 3 --y_eps 3 --e_eps 8.0 --alpha 0.75 --delta 1 --similarity cosine --pick_neighbor top --forward_correction True --x_steps 16 --y_steps 2 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 --attack True -s 12345 -r 10 -o ./gt --device cuda:1
1,80.05908419497784,0.626,0.62,1bedd9f8-d20f-11ee-9aa9-70b5e8eff5dc,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,3.0,0.75,1.0,cosine,top,8.0,gt,16,0.5,16,2,True,adam,100,0.01,0.001,0,cuda:1,12345,10,./gt,False,individual,LPGNN,True,main.py --dataset cora --feature raw --mechanism mbm --model gt --x_eps 3 --y_eps 3 --e_eps 8.0 --alpha 0.75 --delta 1 --similarity cosine --pick_neighbor top --forward_correction True --x_steps 16 --y_steps 2 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 --attack True -s 12345 -r 10 -o ./gt --device cuda:1
2,79.61595273264402,0.630082,0.644,1bedd9f8-d20f-11ee-9aa9-70b5e8eff5dc,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,3.0,0.75,1.0,cosine,top,8.0,gt,16,0.5,16,2,True,adam,100,0.01,0.001,0,cuda:1,12345,10,./gt,False,individual,LPGNN,True,main.py --dataset cora --feature raw --mechanism mbm --model gt --x_eps 3 --y_eps 3 --e_eps 8.0 --alpha 0.75 --delta 1 --similarity cosine --pick_neighbor top --forward_correction True --x_steps 16 --y_steps 2 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 --attack True -s 12345 -r 10 -o ./gt --device cuda:1
3,76.80945347119645,0.616,0.62,1bedd9f8-d20f-11ee-9aa9-70b5e8eff5dc,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,3.0,0.75,1.0,cosine,top,8.0,gt,16,0.5,16,2,True,adam,100,0.01,0.001,0,cuda:1,12345,10,./gt,False,individual,LPGNN,True,main.py --dataset cora --feature raw --mechanism mbm --model gt --x_eps 3 --y_eps 3 --e_eps 8.0 --alpha 0.75 --delta 1 --similarity cosine --pick_neighbor top --forward_correction True --x_steps 16 --y_steps 2 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 --attack True -s 12345 -r 10 -o ./gt --device cuda:1
4,79.76366322008862,0.638,0.662,1bedd9f8-d20f-11ee-9aa9-70b5e8eff5dc,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,3.0,0.75,1.0,cosine,top,8.0,gt,16,0.5,16,2,True,adam,100,0.01,0.001,0,cuda:1,12345,10,./gt,False,individual,LPGNN,True,main.py --dataset cora --feature raw --mechanism mbm --model gt --x_eps 3 --y_eps 3 --e_eps 8.0 --alpha 0.75 --delta 1 --similarity cosine --pick_neighbor top --forward_correction True --x_steps 16 --y_steps 2 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 --attack True -s 12345 -r 10 -o ./gt --device cuda:1
5,81.83161004431314,0.634,0.626,1bedd9f8-d20f-11ee-9aa9-70b5e8eff5dc,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,3.0,0.75,1.0,cosine,top,8.0,gt,16,0.5,16,2,True,adam,100,0.01,0.001,0,cuda:1,12345,10,./gt,False,individual,LPGNN,True,main.py --dataset cora --feature raw --mechanism mbm --model gt --x_eps 3 --y_eps 3 --e_eps 8.0 --alpha 0.75 --delta 1 --similarity cosine --pick_neighbor top --forward_correction True --x_steps 16 --y_steps 2 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 --attack True -s 12345 -r 10 -o ./gt --device cuda:1
6,78.87740029542097,0.632,0.623,1bedd9f8-d20f-11ee-9aa9-70b5e8eff5dc,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,3.0,0.75,1.0,cosine,top,8.0,gt,16,0.5,16,2,True,adam,100,0.01,0.001,0,cuda:1,12345,10,./gt,False,individual,LPGNN,True,main.py --dataset cora --feature raw --mechanism mbm --model gt --x_eps 3 --y_eps 3 --e_eps 8.0 --alpha 0.75 --delta 1 --similarity cosine --pick_neighbor top --forward_correction True --x_steps 16 --y_steps 2 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 --attack True -s 12345 -r 10 -o ./gt --device cuda:1
7,80.94534711964549,0.624,0.626,1bedd9f8-d20f-11ee-9aa9-70b5e8eff5dc,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,3.0,0.75,1.0,cosine,top,8.0,gt,16,0.5,16,2,True,adam,100,0.01,0.001,0,cuda:1,12345,10,./gt,False,individual,LPGNN,True,main.py --dataset cora --feature raw --mechanism mbm --model gt --x_eps 3 --y_eps 3 --e_eps 8.0 --alpha 0.75 --delta 1 --similarity cosine --pick_neighbor top --forward_correction True --x_steps 16 --y_steps 2 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 --attack True -s 12345 -r 10 -o ./gt --device cuda:1
8,79.02511078286558,0.619,0.6278940000000001,1bedd9f8-d20f-11ee-9aa9-70b5e8eff5dc,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,3.0,0.75,1.0,cosine,top,8.0,gt,16,0.5,16,2,True,adam,100,0.01,0.001,0,cuda:1,12345,10,./gt,False,individual,LPGNN,True,main.py --dataset cora --feature raw --mechanism mbm --model gt --x_eps 3 --y_eps 3 --e_eps 8.0 --alpha 0.75 --delta 1 --similarity cosine --pick_neighbor top --forward_correction True --x_steps 16 --y_steps 2 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 --attack True -s 12345 -r 10 -o ./gt --device cuda:1
9,80.35450516986707,0.652,0.647,1bedd9f8-d20f-11ee-9aa9-70b5e8eff5dc,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,3.0,0.75,1.0,cosine,top,8.0,gt,16,0.5,16,2,True,adam,100,0.01,0.001,0,cuda:1,12345,10,./gt,False,individual,LPGNN,True,main.py --dataset cora --feature raw --mechanism mbm --model gt --x_eps 3 --y_eps 3 --e_eps 8.0 --alpha 0.75 --delta 1 --similarity cosine --pick_neighbor top --forward_correction True --x_steps 16 --y_steps 2 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 --attack True -s 12345 -r 10 -o ./gt --device cuda:1
