version,test/acc,perturbed_auc,original_auc,Name,dataset,data_dir,data_range,val_ratio,test_ratio,feature,mechanism,x_eps,y_eps,alpha,delta,similarity,pick_neighbor,e_eps,model,hidden_dim,dropout,x_steps,y_steps,forward_correction,optimizer,max_epochs,learning_rate,weight_decay,patience,device,seed,repeats,output_dir,log,log_mode,project_name,attack,cmd
0,73.12252964426878,0.517,0.516,03fbed29-df30-11ee-9aa9-70b5e8eff5dc,lastfm,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,3.0,0.75,0.0,cosine,rr,2.0,graphconv,16,0.75,16,0,True,adam,100,0.001,0.0001,0,cuda:0,12345,10,rr_less_fb,False,individual,LPGNN,True,main.py --dataset lastfm --feature raw --mechanism mbm --model graphconv --x_eps 3 --y_eps 3 --e_eps 2.0 --alpha 0.75 --delta 0 --similarity cosine --pick_neighbor rr --forward_correction True --x_steps 16 --y_steps 0 --learning_rate 0.001 --weight_decay 0.0001 --dropout 0.75 --attack True -s 12345 -r 10 -o rr_less_fb --device cuda:0
1,74.42123094297007,0.507,0.51,03fbed29-df30-11ee-9aa9-70b5e8eff5dc,lastfm,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,3.0,0.75,0.0,cosine,rr,2.0,graphconv,16,0.75,16,0,True,adam,100,0.001,0.0001,0,cuda:0,12345,10,rr_less_fb,False,individual,LPGNN,True,main.py --dataset lastfm --feature raw --mechanism mbm --model graphconv --x_eps 3 --y_eps 3 --e_eps 2.0 --alpha 0.75 --delta 0 --similarity cosine --pick_neighbor rr --forward_correction True --x_steps 16 --y_steps 0 --learning_rate 0.001 --weight_decay 0.0001 --dropout 0.75 --attack True -s 12345 -r 10 -o rr_less_fb --device cuda:0
2,62.845849802371546,0.513,0.504,03fbed29-df30-11ee-9aa9-70b5e8eff5dc,lastfm,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,3.0,0.75,0.0,cosine,rr,2.0,graphconv,16,0.75,16,0,True,adam,100,0.001,0.0001,0,cuda:0,12345,10,rr_less_fb,False,individual,LPGNN,True,main.py --dataset lastfm --feature raw --mechanism mbm --model graphconv --x_eps 3 --y_eps 3 --e_eps 2.0 --alpha 0.75 --delta 0 --similarity cosine --pick_neighbor rr --forward_correction True --x_steps 16 --y_steps 0 --learning_rate 0.001 --weight_decay 0.0001 --dropout 0.75 --attack True -s 12345 -r 10 -o rr_less_fb --device cuda:0
3,30.8300395256917,0.512,0.50399,03fbed29-df30-11ee-9aa9-70b5e8eff5dc,lastfm,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,3.0,0.75,0.0,cosine,rr,2.0,graphconv,16,0.75,16,0,True,adam,100,0.001,0.0001,0,cuda:0,12345,10,rr_less_fb,False,individual,LPGNN,True,main.py --dataset lastfm --feature raw --mechanism mbm --model graphconv --x_eps 3 --y_eps 3 --e_eps 2.0 --alpha 0.75 --delta 0 --similarity cosine --pick_neighbor rr --forward_correction True --x_steps 16 --y_steps 0 --learning_rate 0.001 --weight_decay 0.0001 --dropout 0.75 --attack True -s 12345 -r 10 -o rr_less_fb --device cuda:0
4,67.30660643704121,0.5260440000000001,0.52,03fbed29-df30-11ee-9aa9-70b5e8eff5dc,lastfm,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,3.0,0.75,0.0,cosine,rr,2.0,graphconv,16,0.75,16,0,True,adam,100,0.001,0.0001,0,cuda:0,12345,10,rr_less_fb,False,individual,LPGNN,True,main.py --dataset lastfm --feature raw --mechanism mbm --model graphconv --x_eps 3 --y_eps 3 --e_eps 2.0 --alpha 0.75 --delta 0 --similarity cosine --pick_neighbor rr --forward_correction True --x_steps 16 --y_steps 0 --learning_rate 0.001 --weight_decay 0.0001 --dropout 0.75 --attack True -s 12345 -r 10 -o rr_less_fb --device cuda:0
5,75.71993224167137,0.5680000000000001,0.542,03fbed29-df30-11ee-9aa9-70b5e8eff5dc,lastfm,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,3.0,0.75,0.0,cosine,rr,2.0,graphconv,16,0.75,16,0,True,adam,100,0.001,0.0001,0,cuda:0,12345,10,rr_less_fb,False,individual,LPGNN,True,main.py --dataset lastfm --feature raw --mechanism mbm --model graphconv --x_eps 3 --y_eps 3 --e_eps 2.0 --alpha 0.75 --delta 0 --similarity cosine --pick_neighbor rr --forward_correction True --x_steps 16 --y_steps 0 --learning_rate 0.001 --weight_decay 0.0001 --dropout 0.75 --attack True -s 12345 -r 10 -o rr_less_fb --device cuda:0
6,73.29192546583852,0.51,0.514,03fbed29-df30-11ee-9aa9-70b5e8eff5dc,lastfm,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,3.0,0.75,0.0,cosine,rr,2.0,graphconv,16,0.75,16,0,True,adam,100,0.001,0.0001,0,cuda:0,12345,10,rr_less_fb,False,individual,LPGNN,True,main.py --dataset lastfm --feature raw --mechanism mbm --model graphconv --x_eps 3 --y_eps 3 --e_eps 2.0 --alpha 0.75 --delta 0 --similarity cosine --pick_neighbor rr --forward_correction True --x_steps 16 --y_steps 0 --learning_rate 0.001 --weight_decay 0.0001 --dropout 0.75 --attack True -s 12345 -r 10 -o rr_less_fb --device cuda:0
7,68.04065499717674,0.591854,0.572,03fbed29-df30-11ee-9aa9-70b5e8eff5dc,lastfm,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,3.0,0.75,0.0,cosine,rr,2.0,graphconv,16,0.75,16,0,True,adam,100,0.001,0.0001,0,cuda:0,12345,10,rr_less_fb,False,individual,LPGNN,True,main.py --dataset lastfm --feature raw --mechanism mbm --model graphconv --x_eps 3 --y_eps 3 --e_eps 2.0 --alpha 0.75 --delta 0 --similarity cosine --pick_neighbor rr --forward_correction True --x_steps 16 --y_steps 0 --learning_rate 0.001 --weight_decay 0.0001 --dropout 0.75 --attack True -s 12345 -r 10 -o rr_less_fb --device cuda:0
8,63.24110671936759,0.532,0.519,03fbed29-df30-11ee-9aa9-70b5e8eff5dc,lastfm,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,3.0,0.75,0.0,cosine,rr,2.0,graphconv,16,0.75,16,0,True,adam,100,0.001,0.0001,0,cuda:0,12345,10,rr_less_fb,False,individual,LPGNN,True,main.py --dataset lastfm --feature raw --mechanism mbm --model graphconv --x_eps 3 --y_eps 3 --e_eps 2.0 --alpha 0.75 --delta 0 --similarity cosine --pick_neighbor rr --forward_correction True --x_steps 16 --y_steps 0 --learning_rate 0.001 --weight_decay 0.0001 --dropout 0.75 --attack True -s 12345 -r 10 -o rr_less_fb --device cuda:0
9,66.91134952004518,0.527,0.517,03fbed29-df30-11ee-9aa9-70b5e8eff5dc,lastfm,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,3.0,0.75,0.0,cosine,rr,2.0,graphconv,16,0.75,16,0,True,adam,100,0.001,0.0001,0,cuda:0,12345,10,rr_less_fb,False,individual,LPGNN,True,main.py --dataset lastfm --feature raw --mechanism mbm --model graphconv --x_eps 3 --y_eps 3 --e_eps 2.0 --alpha 0.75 --delta 0 --similarity cosine --pick_neighbor rr --forward_correction True --x_steps 16 --y_steps 0 --learning_rate 0.001 --weight_decay 0.0001 --dropout 0.75 --attack True -s 12345 -r 10 -o rr_less_fb --device cuda:0
