version,test/acc,perturbed_auc,original_auc,Name,dataset,data_dir,data_range,val_ratio,test_ratio,feature,mechanism,x_eps,y_eps,alpha,delta,similarity,pick_neighbor,e_eps,model,hidden_dim,dropout,x_steps,y_steps,forward_correction,optimizer,max_epochs,learning_rate,weight_decay,patience,device,seed,repeats,output_dir,log,log_mode,project_name,attack,cmd
0,48.16487859966121,0.539,0.549096,ea248cbf-dfcf-11ee-9aa9-70b5e8eff5dc,lastfm,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,3.0,0.5,1.0,cosine,rr,2.0,gat2,16,0.75,16,0,True,adam,100,0.001,0.0001,0,cuda:0,12345,10,rr_less_fb,False,individual,LPGNN,True,main.py --dataset lastfm --feature raw --mechanism mbm --model gat2 --x_eps 3 --y_eps 3 --e_eps 2.0 --alpha 0.5 --delta 1 --similarity cosine --pick_neighbor rr --forward_correction True --x_steps 16 --y_steps 0 --learning_rate 0.001 --weight_decay 0.0001 --dropout 0.75 --attack True -s 12345 -r 10 -o rr_less_fb --device cuda:0
1,60.47430830039525,0.548992,0.54,ea248cbf-dfcf-11ee-9aa9-70b5e8eff5dc,lastfm,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,3.0,0.5,1.0,cosine,rr,2.0,gat2,16,0.75,16,0,True,adam,100,0.001,0.0001,0,cuda:0,12345,10,rr_less_fb,False,individual,LPGNN,True,main.py --dataset lastfm --feature raw --mechanism mbm --model gat2 --x_eps 3 --y_eps 3 --e_eps 2.0 --alpha 0.5 --delta 1 --similarity cosine --pick_neighbor rr --forward_correction True --x_steps 16 --y_steps 0 --learning_rate 0.001 --weight_decay 0.0001 --dropout 0.75 --attack True -s 12345 -r 10 -o rr_less_fb --device cuda:0
2,83.62507058159233,0.548038,0.56506,ea248cbf-dfcf-11ee-9aa9-70b5e8eff5dc,lastfm,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,3.0,0.5,1.0,cosine,rr,2.0,gat2,16,0.75,16,0,True,adam,100,0.001,0.0001,0,cuda:0,12345,10,rr_less_fb,False,individual,LPGNN,True,main.py --dataset lastfm --feature raw --mechanism mbm --model gat2 --x_eps 3 --y_eps 3 --e_eps 2.0 --alpha 0.5 --delta 1 --similarity cosine --pick_neighbor rr --forward_correction True --x_steps 16 --y_steps 0 --learning_rate 0.001 --weight_decay 0.0001 --dropout 0.75 --attack True -s 12345 -r 10 -o rr_less_fb --device cuda:0
3,81.93111236589498,0.549,0.541,ea248cbf-dfcf-11ee-9aa9-70b5e8eff5dc,lastfm,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,3.0,0.5,1.0,cosine,rr,2.0,gat2,16,0.75,16,0,True,adam,100,0.001,0.0001,0,cuda:0,12345,10,rr_less_fb,False,individual,LPGNN,True,main.py --dataset lastfm --feature raw --mechanism mbm --model gat2 --x_eps 3 --y_eps 3 --e_eps 2.0 --alpha 0.5 --delta 1 --similarity cosine --pick_neighbor rr --forward_correction True --x_steps 16 --y_steps 0 --learning_rate 0.001 --weight_decay 0.0001 --dropout 0.75 --attack True -s 12345 -r 10 -o rr_less_fb --device cuda:0
4,85.31902879728966,0.543974,0.5309880000000001,ea248cbf-dfcf-11ee-9aa9-70b5e8eff5dc,lastfm,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,3.0,0.5,1.0,cosine,rr,2.0,gat2,16,0.75,16,0,True,adam,100,0.001,0.0001,0,cuda:0,12345,10,rr_less_fb,False,individual,LPGNN,True,main.py --dataset lastfm --feature raw --mechanism mbm --model gat2 --x_eps 3 --y_eps 3 --e_eps 2.0 --alpha 0.5 --delta 1 --similarity cosine --pick_neighbor rr --forward_correction True --x_steps 16 --y_steps 0 --learning_rate 0.001 --weight_decay 0.0001 --dropout 0.75 --attack True -s 12345 -r 10 -o rr_less_fb --device cuda:0
5,85.71428571428571,0.538,0.553,ea248cbf-dfcf-11ee-9aa9-70b5e8eff5dc,lastfm,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,3.0,0.5,1.0,cosine,rr,2.0,gat2,16,0.75,16,0,True,adam,100,0.001,0.0001,0,cuda:0,12345,10,rr_less_fb,False,individual,LPGNN,True,main.py --dataset lastfm --feature raw --mechanism mbm --model gat2 --x_eps 3 --y_eps 3 --e_eps 2.0 --alpha 0.5 --delta 1 --similarity cosine --pick_neighbor rr --forward_correction True --x_steps 16 --y_steps 0 --learning_rate 0.001 --weight_decay 0.0001 --dropout 0.75 --attack True -s 12345 -r 10 -o rr_less_fb --device cuda:0
6,59.62732919254658,0.575,0.5680000000000001,ea248cbf-dfcf-11ee-9aa9-70b5e8eff5dc,lastfm,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,3.0,0.5,1.0,cosine,rr,2.0,gat2,16,0.75,16,0,True,adam,100,0.001,0.0001,0,cuda:0,12345,10,rr_less_fb,False,individual,LPGNN,True,main.py --dataset lastfm --feature raw --mechanism mbm --model gat2 --x_eps 3 --y_eps 3 --e_eps 2.0 --alpha 0.5 --delta 1 --similarity cosine --pick_neighbor rr --forward_correction True --x_steps 16 --y_steps 0 --learning_rate 0.001 --weight_decay 0.0001 --dropout 0.75 --attack True -s 12345 -r 10 -o rr_less_fb --device cuda:0
7,73.5742518351214,0.554,0.552,ea248cbf-dfcf-11ee-9aa9-70b5e8eff5dc,lastfm,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,3.0,0.5,1.0,cosine,rr,2.0,gat2,16,0.75,16,0,True,adam,100,0.001,0.0001,0,cuda:0,12345,10,rr_less_fb,False,individual,LPGNN,True,main.py --dataset lastfm --feature raw --mechanism mbm --model gat2 --x_eps 3 --y_eps 3 --e_eps 2.0 --alpha 0.5 --delta 1 --similarity cosine --pick_neighbor rr --forward_correction True --x_steps 16 --y_steps 0 --learning_rate 0.001 --weight_decay 0.0001 --dropout 0.75 --attack True -s 12345 -r 10 -o rr_less_fb --device cuda:0
8,85.9966120835686,0.584,0.593,ea248cbf-dfcf-11ee-9aa9-70b5e8eff5dc,lastfm,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,3.0,0.5,1.0,cosine,rr,2.0,gat2,16,0.75,16,0,True,adam,100,0.001,0.0001,0,cuda:0,12345,10,rr_less_fb,False,individual,LPGNN,True,main.py --dataset lastfm --feature raw --mechanism mbm --model gat2 --x_eps 3 --y_eps 3 --e_eps 2.0 --alpha 0.5 --delta 1 --similarity cosine --pick_neighbor rr --forward_correction True --x_steps 16 --y_steps 0 --learning_rate 0.001 --weight_decay 0.0001 --dropout 0.75 --attack True -s 12345 -r 10 -o rr_less_fb --device cuda:0
9,80.97120271033315,0.5609999999999999,0.562,ea248cbf-dfcf-11ee-9aa9-70b5e8eff5dc,lastfm,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,3.0,0.5,1.0,cosine,rr,2.0,gat2,16,0.75,16,0,True,adam,100,0.001,0.0001,0,cuda:0,12345,10,rr_less_fb,False,individual,LPGNN,True,main.py --dataset lastfm --feature raw --mechanism mbm --model gat2 --x_eps 3 --y_eps 3 --e_eps 2.0 --alpha 0.5 --delta 1 --similarity cosine --pick_neighbor rr --forward_correction True --x_steps 16 --y_steps 0 --learning_rate 0.001 --weight_decay 0.0001 --dropout 0.75 --attack True -s 12345 -r 10 -o rr_less_fb --device cuda:0
